created_at,product,amount
2024-07-14 17:10:44.519729,SUN-QUARTZ 5000 20W50 5L,2200
2024-07-17 05:52:29.593689,GWE-MULTIS EP 2 500G,700
2024-05-14 10:09:33.814000,5W40 5LTRS,6000
2024-07-07 12:22:09.430296,BRAKE FLUID 500ML,400
2024-07-20 20:32:18.311227,BAN-QUARTZ 9000 SAE 5W40 500ML,500
2024-07-20 20:38:58.860130,CHI-QUARTZ 9000 SAE 5W40 500ML,500
2024-07-20 20:39:20.547722,CHI-QUARTZ 9000 SAE 5W40 500ML,500
2024-07-24 21:35:21.904261,SUN-QUARTZ 9000 SAE 5W40 500ML,500
2024-07-24 21:35:21.875794,SUN-RACE BRAKEFLUID DOT4+ 500ML,400
2024-05-14 12:48:03.917754,5W40 500ML,1800
2024-07-14 17:04:57.261551,MSA-RACE BRAKEFLUID DOT4+ 500ML,400
2024-07-22 15:42:58.749368,CRI-RUBIA TIR 7400 15W40 500ML,300
2024-07-25 13:45:13.341786,KHA-QUARTZ 9000 SAE 5W40 500ML,500
2024-07-20 21:07:26.837185,MOS-QUARTZ 5000 20W50 5L,2200
2024-07-20 21:06:48.347810,MOS-QUARTZ 5000 20W50 500ML,600
2024-07-07 13:09:37.384989,CHE-QUARTZ 5000 20W50 500ML,300
2024-07-17 07:09:58.492073,KIR-QUARTZ 9000 SAE 5W40 500ML,500
2024-07-22 15:50:02.803718,CRI-QUARTZ 9000 SAE 5W40 500ML,500
2024-07-07 14:14:04.775325,TRO-RACE BRAKEFLUID DOT4+ 500ML,400
2024-07-20 22:32:46.929730,KAD-RUBIA SX SAE40 500ML,800
2024-07-07 14:56:13.292039,TUR-RUBIA TIR 7400 15W40 500ML,900
2024-07-17 08:10:11.335020,TUR-QUARTZ 5000 20W50 500ML,600
2024-07-20 23:00:26.598679,SAM-RUBIA TIR 7400 SAE 15W40 5L,300
2024-07-07 15:16:55.271522,15W40 500ML,300
2024-07-11 20:20:04.765148,MSE-QUARTZ 5000 20W50 500ML,600
2024-07-11 20:20:37.087328,MSE-QUARTZ 9000 SAE 5W40 500ML,500
2024-07-07 15:23:32.931470,SUN-RUBIA SX SAE40 500ML,300
2024-07-11 20:21:20.120461,MSE-QUARTZ 4X4 15W40 500ML,300
2024-07-17 08:21:09.260722,SAM-RUBIA TIR 7400 15W40 500ML,600
2024-07-22 16:31:17.912925,SUN-QUARTZ 5000 20W50 500ML,300
2024-07-22 16:42:15.826273,SAM-RUBIA TIR 7400 15W40 500ML,1200
