created_at,description,product,amount
2025-07-09 12:33:41,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,65.3
2025-07-09 15:59:24,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,21.97
2025-07-10 08:07:25,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,21.43
2025-07-10 08:27:54,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,3.41
2025-07-10 08:39:24,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,15.0
2025-07-10 13:27:15,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,3.0
2025-07-10 13:58:56,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,1.9
2025-07-10 15:02:18,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,15.34
2025-07-10 15:07:56,SALE : MSA-QUARTZ 9000 SAE 5W40 500ML : MSASA,MSA-QUARTZ 9000 SAE 5W40 500ML,10.0
2025-07-11 09:48:29,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,50.0
2025-07-11 09:53:47,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,9.0
2025-07-11 10:00:20,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,26.82
2025-07-11 10:26:56,SALE : FIF-QUARTZ 4X4 15W40 500ML : FIFE STREET,FIF-QUARTZ 4X4 15W40 500ML,3.0
2025-07-11 10:29:34,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,10.0
2025-07-11 15:30:11,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,0.01
2025-07-11 15:32:04,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,27.96
2025-07-11 15:37:10,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,13.2
2025-07-11 15:45:28,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,17.54
2025-07-11 16:22:37,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,11.1
2025-07-12 08:39:33,SALE : SEK-QUARTZ 9000 SAE 5W40 500ML : SEKE,SEK-QUARTZ 9000 SAE 5W40 500ML,5.0
2025-07-13 17:38:14,SALE : RUN-RACE BRAKEFLUID DOT4+ 500ML : RUNIVILLE,RUN-RACE BRAKEFLUID DOT4+ 500ML,4.0
2025-07-14 08:28:32,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,50.0
2025-07-14 08:37:37,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,33.0
2025-07-14 08:40:55,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,29.9
2025-07-14 09:10:12,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,50.0
2025-07-14 09:18:19,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,42.2
2025-07-14 09:25:25,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,13.4
2025-07-14 09:27:37,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,13.46
