sale_date,site_id,site_name,product,total_litres,total_amount
2025-02-10,102,Kirkman,KIRKMAN BULK DIESEL USD,1633.8028169014085,2320.0
2024-08-20,145,Sunway City,SUNWAY BULK DIESEL USD,483.448275862069,701.0
2024-03-06,125,Fort Street,FORT USD PETROL,142.5806451612903,221.0
2023-12-20,102,Kirkman,KIRKMAN USD DIESEL,1245.4545454545453,2055.0
2024-06-14,84,Avondale,AVONDALE USD PETROL,782.8441558441558,1205.58
2024-05-06,145,Sunway City,SUNWAY BULK DIESEL USD,272.66666666666663,409.0
2024-10-27,84,Avondale,AVONDALE USD PETROL,1075.8389261744965,1603.0
2024-02-07,150,Mutare One Stop,MUTARE ONE STOP PETROL,1561.111111111111,2248.0
2024-09-07,149,Turnpike,TUR-RUBIA TIR 7400 15W40 500ML,1.0,3.0
2024-03-06,84,Avondale,AVONDALE USD PETROL,1450.9677419354844,2249.0
2023-12-22,131,R Mugabe,R MUGABE USD PETROL,948.3870967741934,1470.0
2025-01-02,150,Mutare One Stop,MUTARE ONE STOP PETROL,2225.850340136054,3272.0
2024-11-02,159,Gwanda ,GWANDA USD PETROL,475.8389261744967,709.0
2024-06-18,141,Troutbeck,TROUTBECK USD DIESEL,870.0636942675158,1366.0
2024-07-28,123,Fife Street,FIFE USD DIESEL,589.3333333333334,884.0
2024-11-19,158,Chiredzi ,CHIREDZI USD DIESEL,1010.3448275862069,1465.0
2024-06-09,147,Chinhoyi Main,CHINHOYI MAIN USD PETROL,1771.8120805369128,2640.0
2023-12-25,110,Mutare Green Market,MUTARE GREENMARKET USD PETROL,2465.972222222222,3551.0
2024-04-22,96,Samora,SAMORA USD DIESEL,613.0718954248366,938.0
2024-09-07,135,Cripps,CRIPPS DIESEL USD,1297.9310344827588,1882.0
2025-02-02,86,Charter,CHARTER USD PETROL,692.344827586207,1003.9
2024-11-27,102,Kirkman,KIRKMAN USD PETROL,1452.7027027027027,2150.0
2024-09-21,141,Troutbeck,TRO-RACE BRAKEFLUID DOT4+ 500ML,4.0,16.0
2024-02-24,112,Marondera,MARONDERA USD PETROL,1326.3591549295772,1883.43
2024-05-12,131,R Mugabe,R MUGABE USD PETROL,405.09554140127386,636.0
2024-04-13,110,Mutare Green Market,MUTARE GREENMARKET USD DIESEL,324.3037974683544,512.4
2024-11-26,92,Msasa,MSASA BULK DIESEL,636.551724137931,923.0
2024-12-23,88,Seke,SEKE USD PETROL,2727.0270270270275,4036.0
2024-06-08,84,Avondale,AVONDALE USD PETROL,47.4025974025974,73.0
2024-11-12,86,Charter,CHARTER USD PETROL,1180.2990113334943,1693.0
2024-01-26,112,Marondera,MARONDERA USD PETROL,1106.3028169014085,1570.95
2024-08-15,102,Kirkman,KIRKMAN USD PETROL,118.24324324324323,175.0
2024-05-12,145,Sunway City,SUNWAY USD UNLEADED PETROL,3724.6835443037976,5885.0
2024-07-22,141,Troutbeck,15W40 5LTRS,1.3888888888888888,25.0
2023-12-16,147,Chinhoyi Main,CHINHOYI MAIN USD PETROL,1949.2077922077913,3001.77
2024-12-27,150,Mutare One Stop,MUTARE ONE STOP PETROL,2260.5306122448983,3322.98
2024-07-17,88,Seke,SEK-RUBIA SX SAE40 500ML,4.0,12.0
2023-12-13,129,Khami,KHAMI USD DIESEL,1342.0731707317075,2201.0
2023-12-10,146,Banket,BANKET USD DIESEL,521.604938271605,845.0
2024-07-04,149,Turnpike,TURNPIKE USD PETROL,343.3333333333333,515.0
2024-03-20,88,Seke,SEKE USD PETROL,1085.2348993288588,1617.0
2024-11-27,125,Fort Street,FORT USD DIESEL,360.81081081081084,534.0
2024-11-17,96,Samora,SAM-FLUIDMATIC DIII MV 500ML,1.3333333333333333,4.0
2024-03-24,110,Mutare Green Market,MUTARE GREENMARKET USD PETROL,457.4324324324324,677.0
2023-12-26,96,Samora,15W40 5LTRS,1.1111111111111112,20.0
2024-06-18,131,R Mugabe,R MUGABE USD DIESEL,710.0000000000001,1065.0
2023-11-27,141,Troutbeck,TROUTBECK USD DIESEL,534.3195266272188,903.0
2024-12-06,114,Kadoma,KADOMA USD PETROL,1832.2189655172415,2656.71
2024-10-18,123,Fife Street,FIFE USD PETROL,1086.3013698630136,1586.0
2024-10-26,149,Turnpike,TURNPIKE BULK DIESEL USD,101.35,146.95
2024-10-05,92,Msasa,MSASA USD PETROL,978.5234899328859,1458.0
2025-01-15,145,Sunway City,SUNWAY USD PETROL,4577.7027027027,6775.0
2024-12-09,114,Kadoma,KADOMA USD PETROL,1302.7586206896551,1889.0
2024-06-25,145,Sunway City,ATF 500ML,1.0,3.0
2024-05-24,125,Fort Street,FORT UNLEADED PETROL USD,239.87341772151893,379.0
2024-11-22,148,Chegutu,CHEGUTU USD PETROL,1787.0748299319725,2627.0
2024-08-21,88,Seke,SEKE USD DIESEL,1813.265306122449,2665.5
2025-01-14,92,Msasa,MSASA USD PETROL,1388.5135135135138,2055.0
2024-11-10,102,Kirkman,KIRKMAN BULK DIESEL USD,1565.5172413793102,2270.0
2024-09-24,84,Avondale,AVONDALE USD DIESEL,427.7419354838709,663.0
2024-04-15,98,Roadport,ROADPORT USD DIESEL,1359.8726114649683,2135.0
2024-08-31,127,Mpopoma,MPOPOMA USD DIESEL,1816.4383561643838,2652.0
2024-10-05,112,Marondera,MARONDERA USD PETROL,466.66666666666674,658.0
2024-03-29,102,Kirkman,KIRKMAN USD PETROL,880.7682119205299,1329.96
2024-06-24,148,Chegutu,20W50 500ML,1.0,3.0
2023-11-30,102,Kirkman,KIRKMAN USD PETROL,1159.7402597402595,1786.0
2025-01-15,129,Khami,KHA-RACE BRAKEFLUID DOT4+ 500ML,1.0,4.0
2025-05-06,149,Turnpike,5W40 500ML,3.3333333333333335,10.0
2024-05-06,96,Samora,SAMORA USD PETROL,923.6842105263156,1404.0
2024-12-24,110,Mutare Green Market,MUTARE GREENMARKET USD DIESEL,59.027777777777786,85.0
2024-01-07,84,Avondale,AVONDALE USD DIESEL,407.8787878787879,673.0
2025-01-03,86,Charter,CHAR-SWIFTEX BATTERY 658P,1.0,140.0
2024-08-27,82,Runiville,RUNIVILLE BULK DIESEL USD,206.89655172413794,300.0
2025-01-20,148,Chegutu,CHEGUTU USD DIESEL,411.3333333333333,617.0
2024-10-15,82,Runiville,RUNIVILLE BULK DIESEL USD,620.6896551724138,900.0
2024-08-10,88,Seke,SEKE USD PETROL,92.46575342465754,135.0
2024-06-21,98,Roadport,ROADPORT USD DIESEL,793.3333333333335,1190.0
2024-03-26,86,Charter,CHARTER USD UNLEADED PETROL,598.8085472088753,959.0
2023-12-14,110,Mutare Green Market,MUTARE GREENMARKET USD DIESEL,576.5822784810126,911.0
2024-01-03,145,Sunway City,SUNWAY USD UNLEADED PETROL,1699.3506493506493,2617.0
2024-11-27,145,Sunway City,SUNWAY USD DIESEL,2164.429530201342,3225.0
2024-09-13,146,Banket,5W40 500ML,1.6666666666666667,5.0
2025-01-24,131,R Mugabe,R MUGABE USD DIESEL,977.0328947368421,1485.09
2024-07-03,146,Banket,5W40 500ML,1.6666666666666667,5.0
2024-02-08,149,Turnpike,TURNPIKE USD DIESEL,540.00625,864.01
2024-08-28,129,Khami,KHAMI USD DIESEL,926.3513513513512,1371.0
2024-05-25,148,Chegutu,CHEGUTU USD DIESEL,933.7837837837839,1382.0
2024-07-19,86,Charter,CHARTER USD PETROL,1315.4362416107383,1960.0
2025-02-14,159,Gwanda ,GWANDA USD DIESEL,157.14285714285714,242.0
2024-11-01,145,Sunway City,SUNWAY BULK DIESEL USD,1521.7241379310344,2206.5
2024-07-12,88,Seke,SEK-QUARTZ 9000 SAE 5W40 500ML,1.0,5.0
2024-10-22,127,Mpopoma,MPOPOMA USD PETROL,1795.890410958904,2622.0
2025-01-07,131,R Mugabe,RM-RUBIA SX SAE40 500ML,1.0,3.0
2025-02-11,140,Mutare Second Street,MUTARE SECOND USD PETROL,1187.323943661972,1686.0
2024-08-22,88,Seke,SEKE USD PETROL,2905.479452054795,4242.0
2024-04-23,86,Charter,CHARTER USD PETROL,927.9220779220778,1429.0
2025-02-18,141,Troutbeck,TROUTBECK USD DIESEL,633.7662337662337,976.0
2024-11-15,158,Chiredzi ,CHIREDZI USD PETROL,162.0689655172414,235.0
2024-03-13,98,Roadport,ROADPORT USD DIESEL,963.4615384615385,1503.0
2024-03-15,92,Msasa,MSASA USD PETROL,1784.6666666666667,2677.0
2024-12-02,127,Mpopoma,MPO-QUARTZ 7000 SAE 15W50 500ML,2.25,9.0
2024-08-17,110,Mutare Green Market,MUTARE GREENMARKET USD DIESEL,765.5405405405405,1133.0
2024-02-05,112,Marondera,MARONDERA USD PETROL,1127.464788732395,1601.0
2024-10-16,121,Gweru,GWE-NEPTUNA 2T SUPER SPORT 500ML,1.0,4.0
2024-06-29,114,Kadoma,KADOMA USD DIESEL,1384.8275862068965,2008.0
2024-07-30,121,Gweru,GWERU USD PETROL,1053.6066666666668,1580.41
2024-07-29,96,Samora,SAMORA USD TAXI DIESEL ,1915.8620689655172,2778.0
2024-05-30,86,Charter,CHARTER USD PETROL,666.4429530201342,993.0
2025-01-16,88,Seke,SAE40 500ML,1.0,3.0
2024-02-11,102,Kirkman,KIRKMAN USD UNLEADED PETROL,107.92682926829269,177.0
2024-11-08,145,Sunway City,SUNWAY BULK DIESEL USD,1708.9655172413793,2478.0
2023-12-28,150,Mutare One Stop,MUTARE ONE STOP DIESEL,917.0886075949365,1449.0
2024-09-09,148,Chegutu,CHEGUTU USD DIESEL,1387.7027027027025,2053.8
2024-05-12,121,Gweru,GWERU USD PETROL,618.9651612903225,959.39
2024-11-24,127,Mpopoma,MPOPOMA USD DIESEL,1169.5945945945946,1731.0
2024-08-04,141,Troutbeck,TRO-QUARTZ 4X4 15W40 5L,1.25,25.0
2024-12-09,114,Kadoma,KADOMA CASH DIESEL DISCOUNT,1652.112676056338,2346.0
2024-01-12,145,Sunway City,SUNWAY USD UNLEADED PETROL,2583.766233766234,3979.0
2024-07-20,146,Banket,BAN-QUARTZ 9000 SAE 5W40 500ML,1.0,5.0
2024-09-28,141,Troutbeck,TROUTBECK BULK DIESEL ,441.3793103448276,640.0
2024-05-22,82,Runiville,RUNIVILLE USD PETROL,386.00000000000006,579.0
2024-07-21,147,Chinhoyi Main,CHI-FLUIDMATIC DIII MV 500ML,2.0,6.0
2024-04-04,102,Kirkman,KIRKMAN USD DIESEL,1237.4193548387098,1918.0
2024-06-12,86,Charter,CHARTER USD DIESEL,2083.8926174496646,3105.0
2025-02-21,160,Zaka ,ZAKA USD PETROL,544.21768707483,800.0
2024-07-24,150,Mutare One Stop,MUTARE ONE STOP PETROL,70.94594594594595,105.0
2024-11-02,102,Kirkman,20W50 500ML,1.0,3.0
2024-11-28,147,Chinhoyi Main,CHI-RACE BRAKEFLUID DOT4+ 500ML,1.0,4.0
2024-10-13,96,Samora,SAMORA USD PETROL,271.1409395973154,404.0
2024-11-08,88,Seke,SEK-QUARTZ 9000 SAE 5W40 500ML,3.0,15.0
2024-12-10,86,Charter,CHA-RUBIA SX SAE40 500ML,1.0,3.0
