barcode,booklet_number,activation_date_local,company_name,coupon_status
ABD-2503-0004810,BBD-2503-0000193,2025-09-04 14:05:40,Livestock Identification Trust,ACTIVE
ABD-2503-0004811,BBD-2503-0000193,2025-09-04 14:05:40,Livestock Identification Trust,ACTIVE
ABD-2503-0004812,BBD-2503-0000193,2025-09-04 14:05:40,Livestock Identification Trust,ACTIVE
ABD-2503-0004813,BBD-2503-0000193,2025-09-04 14:05:40,Livestock Identification Trust,ACTIVE
ABD-2503-0004814,BBD-2503-0000193,2025-09-04 14:05:40,Livestock Identification Trust,ACTIVE
ABD-2503-0004815,BBD-2503-0000193,2025-09-04 14:05:40,Livestock Identification Trust,ACTIVE
ABD-2503-0004816,BBD-2503-0000193,2025-09-04 14:05:40,Livestock Identification Trust,ACTIVE
ABD-2503-0004817,BBD-2503-0000193,2025-09-04 14:05:40,Livestock Identification Trust,ACTIVE
ABD-2503-0004818,BBD-2503-0000193,2025-09-04 14:05:40,Livestock Identification Trust,ACTIVE
ABD-2503-0004819,BBD-2503-0000193,2025-09-04 14:05:40,Livestock Identification Trust,ACTIVE
ABD-2503-0004820,BBD-2503-0000193,2025-09-04 14:05:40,Livestock Identification Trust,ACTIVE
ABD-2503-0004821,BBD-2503-0000193,2025-09-04 14:05:40,Livestock Identification Trust,ACTIVE
ABD-2503-0004822,BBD-2503-0000193,2025-09-04 14:05:40,Livestock Identification Trust,ACTIVE
ABD-2503-0004823,BBD-2503-0000193,2025-09-04 14:05:40,Livestock Identification Trust,ACTIVE
ABD-2503-0004824,BBD-2503-0000193,2025-09-04 14:05:40,Livestock Identification Trust,ACTIVE
ABD-2503-0004825,BBD-2503-0000193,2025-09-04 14:05:40,Livestock Identification Trust,ACTIVE
ABD-2503-0004930,BBD-2503-0000198,2025-12-09 11:36:43,Gabu Trading Private Limited/Builders Paradise,ACTIVE
ABD-2503-0004931,BBD-2503-0000198,2025-12-09 11:36:43,Gabu Trading Private Limited/Builders Paradise,ACTIVE
ABD-2503-0004932,BBD-2503-0000198,2025-12-09 11:36:43,Gabu Trading Private Limited/Builders Paradise,ACTIVE
ABD-2503-0004933,BBD-2503-0000198,2025-12-09 11:36:43,Gabu Trading Private Limited/Builders Paradise,ACTIVE
ABD-2503-0004934,BBD-2503-0000198,2025-12-09 11:36:43,Gabu Trading Private Limited/Builders Paradise,ACTIVE
ABD-2503-0004935,BBD-2503-0000198,2025-12-09 11:36:43,Gabu Trading Private Limited/Builders Paradise,ACTIVE
ABD-2503-0004936,BBD-2503-0000198,2025-12-09 11:36:43,Gabu Trading Private Limited/Builders Paradise,ACTIVE
ABD-2503-0004937,BBD-2503-0000198,2025-12-09 11:36:43,Gabu Trading Private Limited/Builders Paradise,ACTIVE
ABD-2503-0004938,BBD-2503-0000198,2025-12-09 11:36:43,Gabu Trading Private Limited/Builders Paradise,ACTIVE
ABD-2503-0004939,BBD-2503-0000198,2025-12-09 11:36:43,Gabu Trading Private Limited/Builders Paradise,ACTIVE
ABD-2503-0004940,BBD-2503-0000198,2025-12-09 11:36:43,Gabu Trading Private Limited/Builders Paradise,ACTIVE
ABD-2503-0004941,BBD-2503-0000198,2025-12-09 11:36:43,Gabu Trading Private Limited/Builders Paradise,ACTIVE
ABD-2503-0004942,BBD-2503-0000198,2025-12-09 11:36:43,Gabu Trading Private Limited/Builders Paradise,ACTIVE
ABD-2503-0004943,BBD-2503-0000198,2025-12-09 11:36:43,Gabu Trading Private Limited/Builders Paradise,ACTIVE
ABD-2503-0004944,BBD-2503-0000198,2025-12-09 11:36:43,Gabu Trading Private Limited/Builders Paradise,ACTIVE
ABD-2503-0004945,BBD-2503-0000198,2025-12-09 11:36:43,Gabu Trading Private Limited/Builders Paradise,ACTIVE
ABD-2503-0004946,BBD-2503-0000198,2025-12-09 11:36:43,Gabu Trading Private Limited/Builders Paradise,ACTIVE
ABD-2503-0004947,BBD-2503-0000198,2025-12-09 11:36:43,Gabu Trading Private Limited/Builders Paradise,ACTIVE
ABD-2503-0004948,BBD-2503-0000198,2025-12-09 11:36:43,Gabu Trading Private Limited/Builders Paradise,ACTIVE
ABD-2503-0004949,BBD-2503-0000198,2025-12-09 11:36:43,Gabu Trading Private Limited/Builders Paradise,ACTIVE
ABD-2503-0004950,BBD-2503-0000198,2025-12-09 11:36:43,Gabu Trading Private Limited/Builders Paradise,ACTIVE
ABD-2503-0005000,BBD-2503-0000200,2025-10-02 12:49:44,Synergy Harare Car Rental,ACTIVE
