sale_date,site_id,site_name,product,total_litres,total_amount
2024-06-05,FORT STREET,FORT STREET,FORT USD PETROL,25.27,37.0
2025-07-20,FORT STREET,FORT STREET,FORT USD PETROL,6.71,8.94
2023-08-20,SAMORA,SAMORA,SAMORA USD PETROL,37.72,58.83
2023-09-19,FORT STREET,FORT STREET,FORT USD PETROL,123.16,194.34
2024-01-03,SUNWAY CITY,SUNWAY CITY,SUNWAY USD UNLEADED PETROL,48.7,72.96
2023-05-18,FIFE STREET,FIFE STREET,FIFE USD PETROL,93.54,144.15
2024-08-27,FIFE STREET,FIFE STREET,FIFE USD PETROL,183.37,265.35
2024-07-03,BANKET,BANKET,BANKET USD PETROL,42.0,63.0
2025-05-23,CHINHOYI MAIN,CHINHOYI MAIN,CHINHOYI MAIN USD PETROL,333.33,499.5
2024-02-16,FIFE STREET,FIFE STREET,FIFE USD DIESEL,158.54,259.12
2023-09-10,RUNIVILLE,RUNIVILLE,RUNIVILLE USD PETROL,196.4,307.72
2023-12-28,MSASA,MSASA,MSASA USD PETROL,162.76,234.9
2025-09-15,FIFE STREET,FIFE STREET,FIFE USD PETROL,287.76,430.5
2024-08-04,KIRKMAN,KIRKMAN,KIRKMAN USD PETROL,86.09,129.86
2023-05-01,FIFE STREET,FIFE STREET,FIFE USD PETROL,254.83,393.7
2024-07-09,RUNIVILLE,RUNIVILLE,RUNIVILLE USD PETROL,233.1,344.84
2025-01-12,SEKE,SEKE,SEKE USD PETROL,23.97,33.58
2023-04-11,FIFE STREET,FIFE STREET,FIFE USD PETROL,325.79,510.25
2024-06-01,CHARTER,CHARTER,CHARTER USD DIESEL,40.26,59.6
2024-05-07,MUTARE SECOND STREET,MUTARE SECOND STREET,MUTARE SECOND USD PETROL,64.45,96.64
2025-08-25,MARONDERA,MARONDERA,MARONDERA USD PETROL,325.04,487.5
2025-05-05,CRIPPS,CRIPPS,CRIPPS DIESEL USD,121.91,176.66
2025-08-06,CHINHOYI MAIN,CHINHOYI MAIN,CHINHOYI MAIN USD PETROL,141.44,214.32
