created_at_local,product,amount,quantity
2025-09-20 14:40:38.827812,TUR-RUBIA TIR 7400 15W40 500ML,3,1.0
2025-09-20 14:46:05.788378,TUR-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-20 15:35:18.969952,BAN-FLUIDMATIC DIII MV 500ML,3,1.0
2025-09-20 17:25:36.956546,TUR-FLUIDMATIC DIII MV 500ML,3,1.0
2025-09-20 17:55:50.912318,BAN-NEPTUNA 2T SUPER SPORT 500ML,4,1.0
2025-09-20 19:19:31.367108,BAN-RUBIA SX SAE40 500ML,3,1.0
2025-09-20 19:32:45.820930,SWIFTEX 646C-S,100,1.0
2025-09-20 20:21:57.057053,TRO-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-20 20:24:59.377321,KHA-FLUIDMATIC DIII MV 500ML,6,2.0
2025-09-24 07:37:20.644033,MPO-FLUIDMATIC DIII MV 500ML,6,2.0
2025-09-24 07:37:42.521165,MPO-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-24 07:38:37.205497,MPO-RUBIA SX SAE40 500ML,3,1.0
2025-09-24 07:38:59.414873,MPO-QUARTZ 5000 20W50 5L,22,1.0
2025-09-24 07:39:32.401297,MPO-QUARTZ 5000 20W50 500ML,6,2.0
2025-09-24 07:40:16.799899,MPO-RUBIA TIR 7400 SAE 15W40 5L,50,2.0
2025-09-24 07:49:07.981848,MPO-RUBIA TIR 7400 15W40 500ML,6,2.0
2025-09-24 07:49:41.137360,MPO-QUARTZ 9000 SAE 5W40 5L,30,1.0
2025-09-24 07:50:14.623473,MPO-QUARTZ 9000 SAE 5W40 500ML,10,2.0
2025-09-24 08:24:15.133177,KIR-QUARTZ 3000 SG 20W50 500ML,15,5.0
2025-09-24 09:50:38.766240,SUN-QUARTZ 9000 SAE 5W40 500ML,5,1.0
2025-09-24 09:50:38.964540,SUN-FLUIDMATIC DIII MV 500ML,3,1.0
2025-09-24 12:45:54.473535,SAM-QUARTZ 5000 20W50 500ML,6,2.0
2025-09-24 14:38:19.913401,CHI-QUARTZ 5000 20W50 500ML,6,2.0
2025-09-24 14:39:05.439747,TUR-FLUIDMATIC CVT MV 1L,10,1.0
2025-09-24 15:18:14.552597,GWE-QUARTZ 5000 20W50 500ML,6,2.0
2025-09-24 17:27:42.738157,CHI-RUBIA TIR 7400 15W40 500ML,3,1.0
2025-09-24 17:57:02.183729,KHA-RUBIA SX SAE40 500ML,6,2.0
2025-09-24 18:46:22.221771,RUN-QUARTZ 3000 SG 20W50 500ML,6,2.0
2025-09-24 20:28:19.817564,TRO-RUBIA TIR 7400 SAE 15W40 5L,25,1.0
2025-09-24 23:01:36.517104,KAD-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-24 23:11:45.236146,SUN-QUARTZ 4X4 15W40 5L,20,1.0
2025-09-25 00:02:51.087600,SUN-QUARTZ 4X4 15W40 500ML,6,2.0
2025-09-25 01:02:02.716160,FOR-RUBIA SX SAE40 500ML,3,1.0
2025-09-25 07:43:37.784726,GWE-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-25 07:44:32.909006,GWE-RUBIA SX SAE40 500ML,3,1.0
2025-09-25 08:17:48.733298,KAD-QUARTZ 9000 SAE 5W40 500ML,10,2.0
2025-09-25 09:34:53.513153,GWE-QUARTZ 5000 20W50 5L,22,1.0
2025-09-25 09:36:37.884283,GWE-QUARTZ 5000 20W50 500ML,6,2.0
2025-09-25 11:11:49.150769,TUR-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-27 17:48:42.681783,FIF-QUARTZ 5000 20W50 500ML,3,1.0
2025-09-27 17:50:33.172569,FOR-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-27 19:21:49.804220,MPO-QUARTZ 9000 SAE 5W40 500ML,10,2.0
2025-09-27 19:24:24.262626,RUN-QUARTZ 4X4 15W40 500ML,3,1.0
2025-09-27 19:24:46.210884,RUN-FLUIDMATIC DIII MV 500ML,3,1.0
2025-09-27 20:10:47.678081,KIR-FLUIDMATIC CVT MV 1L,10,1.0
2025-09-27 20:52:20.081011,RUN-FLUIDMATIC CVT MV 1L,30,3.0
2025-09-27 21:28:35.947111,TUR-QUARTZ 9000 SAE 5W40 500ML,20,4.0
2025-09-28 07:58:32.729168,FOR-QUARTZ 4X4 15W40 500ML,3,1.0
2025-09-28 10:24:53.819439,SUN-QUARTZ 5000 20W50 5L,44,2.0
2025-09-28 10:54:10.141434,SUN-RUBIA TIR 7400 15W40 500ML,6,2.0
2025-09-28 10:55:05.754337,SUN-QUARTZ 9000 SAE 5W40 500ML,5,1.0
2025-09-28 11:07:30.685873,SUN-QUARTZ 9000 SAE 5W40 500ML,5,1.0
2025-09-28 12:05:24.280886,BAN-NEPTUNA 2T SUPER SPORT 500ML,4,1.0
2025-09-28 15:04:25.358361,TUR-RACE BRAKEFLUID DOT4+ 500ML,8,2.0
2025-09-28 15:34:05.950814,CHE-RUBIA TIR 7400 15W40 500ML,6,2.0
2025-09-28 15:34:49.924837,CHE-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
